CAMIS,MostRecentInspDate
40600383,2025-05-12
40600516,2025-07-15
40600780,2023-12-05
40601006,2023-12-18
40601254,2024-07-09
40601738,2023-08-24
40602670,2024-08-20
40602783,2024-12-20
40602855,2024-12-06
40602866,2024-07-08
40602872,2025-06-18
40602878,2025-08-15
40603743,2025-08-07
40604004,2025-04-24
40604207,2024-07-16
40604769,2025-03-03
40605180,2025-07-23
40605319,2024-04-10
40605511,2025-05-13
40605770,2025-01-31
40605839,2025-06-09
40605862,2025-03-10
40606656,2023-10-27
40606772,2024-03-22
40607093,2025-06-16
40607604,2025-07-22
40608422,2024-08-16
40608576,2025-08-13
40608702,2024-07-03
40608746,2024-06-06
40609087,2025-02-12
40609590,2025-08-08
40609677,2025-05-13
40609705,2024-04-22
40610000,2024-07-11
40610087,2023-06-12
40610554,2025-06-03
40611024,2024-10-17
40611192,2024-10-11
40611399,2023-06-20
40611479,2025-07-02
40612120,2025-05-14
40614489,2024-05-20
40614573,2023-12-12
40615672,2025-05-01
40615828,2025-03-20
40616482,2025-07-23
40616509,2025-07-17
40617224,2024-04-11
40617736,2025-07-02
40617746,2024-05-09
40618281,2025-03-14
40618557,2023-10-16
40618714,2025-08-20
40619544,2025-02-07
40620325,2024-04-23
40621241,2025-03-12
40622348,2025-05-29
40622601,2022-02-28
40623604,2023-04-17
40624409,2024-12-12
40624458,2024-09-15
40624470,2024-03-27
40624607,2022-09-13
40624744,2024-11-14
40625198,2019-04-24
40625346,2024-06-12
40625667,2025-01-06
40625816,2024-06-03
40633087,2023-05-26
40634433,2024-11-25
40634607,2024-09-17
40634891,2024-03-05
40634937,2023-01-09
40635366,2024-04-03
40635454,2025-02-11
40635781,2024-10-26
40635976,2025-07-02
40637864,2024-08-06
40639085,2025-03-07
40639261,2025-06-27
40640493,2025-02-19
40640688,2019-05-22
40641437,2024-05-30
40642602,2025-08-05
40643163,2024-10-22
40643227,2025-03-14
40643680,2023-10-31
40643682,2024-09-10
40644352,2025-08-06
40645039,2025-07-18
40645249,2023-01-04
40645260,2024-09-17
40645559,2025-06-09
40647906,2023-10-04
40648876,2025-03-19
40649377,2023-10-04
40649463,2024-11-29
40649472,2025-07-10
40651300,2025-01-02
40652017,2025-05-01
40653417,2025-03-12
40653513,2024-01-16
40653926,2025-02-26
40654318,2019-06-13
40654823,2025-02-13
40656139,2025-05-16
40656594,2024-12-18
40659101,2024-01-04
40659197,2023-04-06
40659211,2025-05-06
40659758,2025-06-09
40661017,2024-08-06
40661290,2024-06-20
40662141,2025-01-28
40662196,2025-01-02
40662349,2024-08-26
40662495,2024-01-16
40663950,2024-11-18
40664052,2024-06-06
40664304,2024-07-03
40664744,2025-01-09
40665065,2025-05-06
40665359,2023-03-14
40666003,2024-12-16
40666094,2024-01-25
40667358,2022-02-04
40667588,2024-12-27
40668464,2024-05-01
40668681,2025-01-07
40669394,2025-05-15
40669697,2025-03-27
40671821,2025-01-08
40672603,2025-02-25
40673089,2024-12-11
40673117,2025-07-22
40674404,2024-12-18
40674475,2024-06-06
40674838,2023-04-14
40675225,2025-05-02
40675892,2024-05-24
40675977,2025-04-16
40676022,2024-08-23
40676550,2024-07-29
40676884,2025-02-21
40677036,2023-10-10
40677553,2024-05-02
40678235,2024-05-02
40678995,2024-09-26
40679229,2024-03-27
40679269,2024-10-23
40679327,2024-03-08
40680918,2023-04-28
40681290,2025-07-25
40682609,2025-01-09
40684066,2024-10-23
40685734,2025-05-08
40685858,2025-02-20
40686067,2024-03-29
40686672,2025-07-02
40687209,2024-04-25
40687217,2023-05-12
40689434,2025-06-04
40689838,2023-03-09
40690297,2024-02-09
40690899,2024-10-10
40691110,2024-12-12
40691569,2025-01-29
40692073,2025-05-21
40692209,2025-03-25
40692361,2024-10-23
40692741,2024-07-11
40692961,2025-01-16
40693095,2024-04-09
40693544,2024-05-08
40693546,2023-05-02
40693952,2024-12-05
40694122,2024-05-08
40694187,2024-06-14
40694764,2025-06-26
40695260,2024-07-02
40697311,2024-09-26
40698274,2024-05-23
40698410,2024-03-12
40698788,2025-06-12
40698807,2024-05-02
40698823,2024-08-15
40698840,2025-04-09
40699061,2024-09-20
40700664,2025-04-29
40700724,2024-12-18
40701165,2024-05-21
40701605,2024-01-18
40703670,2024-11-20
40703714,2025-02-06
40703739,2024-09-12
40703791,2025-06-25
40703795,2024-12-10
40703837,2025-08-08
40704155,2024-10-04
40704305,2024-11-18
40705411,2024-10-04
40705438,2025-04-02
40705931,2024-12-10
40705983,2024-07-02
40707194,2025-07-17
40708213,2024-05-22
40708523,2024-08-19
40708598,2024-04-03
40709458,2025-04-04
40709941,2025-04-24
40710411,2024-11-13
40710951,2024-10-17
40711301,2025-01-28
40711561,2025-04-08
40711788,2025-08-27
40711820,2025-01-21
40712429,2025-02-20
40712781,2023-11-24
40714228,2025-03-18
40714371,2025-07-10
40715360,2025-01-27
40715362,2024-12-18
40715364,2025-08-12
40715365,2025-03-07
40716007,2025-06-05
40716092,2024-12-17
40716141,2019-04-30
40716299,2025-05-16
40716479,2024-02-08
40716489,2024-05-22
40717386,2024-06-25
40717559,2025-02-19
40718547,2025-06-02
40719059,2024-11-19
40719552,2024-08-28
40719557,2024-07-03
40719669,2024-05-15
40719693,2025-05-19
40719863,2024-08-20
40720280,2024-04-24
40720288,2024-10-17
40720393,2025-08-11
40720511,2023-11-02
40720599,2025-04-14
40720858,2024-08-02
40720911,2024-06-25
40721162,2025-01-15
40721728,2024-07-08
40722206,2024-09-27
40722659,2025-06-20
40723447,2024-05-09
40723611,2024-10-24
40723673,2024-06-06
40723910,2024-10-15
40724274,2024-05-24
40725853,2024-09-09
40726517,2025-08-18
40726984,2025-01-30
40727214,2024-06-05
40727609,2025-02-26
40727750,2023-10-11
40727820,2025-08-20
40728353,2025-02-12
40728858,2023-06-21
40729164,2024-03-13
40729264,2025-01-06
40729296,2025-05-08
40729439,2024-06-10
40729582,2024-09-11
40729796,2025-06-02
40729819,2024-06-04
40730140,2024-04-04
40730270,2025-02-24
40730585,2024-07-30
40731158,2025-08-06
40731374,2025-01-30
40732501,2024-07-08
40732665,2025-02-25
40732696,2024-07-12
40733080,2024-07-30
40733334,2025-05-01
40734383,2024-05-22
40734506,2024-07-12
40734541,2025-03-05
40734589,2024-12-10
40735129,2025-05-29
40735965,2024-12-02
40736005,2024-10-19
40736135,2024-12-03
40736137,2024-10-29
40736385,2024-12-16
40736836,2024-12-04
40737045,2025-01-24
40737436,2024-10-08
40737677,2025-07-11
